Cena,Cena_za_metr,Id,Rynek,Strefa,Powierzchnia,Liczba pokoi,Liczba pięter,Piętro,URL
619442.0,9702.0,60536233,pierwotny,Stare Miasto,63.85,3,8,3.0,https://www.otodom.pl/oferta/dwustronne1500m-spacerem-do-rynkugotowewygoda-ID460eR.html#02f510e6c7
452530.0,11800.0,60536216,pierwotny,Stare Miasto,38.35,2,8,2.0,https://www.otodom.pl/oferta/apartament1500m-do-rynkupod-wynajembulwar-odra-ID460eA.html#02f510e6c7
571439.0,9143.0,60536232,pierwotny,Stare Miasto,62.5,3,8,4.0,https://www.otodom.pl/oferta/narozny-tarasblisko-rynekgotowepromenada-ID460eQ.html#02f510e6c7
656900.0,8011.0,60536220,pierwotny,Stare Miasto,82.0,4,8,2.0,https://www.otodom.pl/oferta/komfortdwustronne2xtarasbulwar-odra-ID460eE.html#02f510e6c7
199999.0,11448.0,60536338,wtorny,dolnośląskie,17.47,1,11,3.0,https://www.otodom.pl/oferta/wykonczone-centrum-inwestycja-gotowe-komorka-ID460gy.html#02f510e6c7
515933.0,8900.0,60536228,pierwotny,Stare Miasto,57.97,3,8,1.0,https://www.otodom.pl/oferta/apartamentstare-miasto-rynekgotowenad-odra-ID460eM.html#02f510e6c7
751459.0,9700.0,60536231,pierwotny,Stare Miasto,77.47,4,8,6.0,https://www.otodom.pl/oferta/apartamentwidok-na-rzekekomfortwygoda-ID460eP.html#02f510e6c7
717618.0,8106.0,60536223,pierwotny,Stare Miasto,88.53,4,8,2.0,https://www.otodom.pl/oferta/wysoki-standard1500m-ryneknaroznytarasnad-odra-ID460eH.html#02f510e6c7
420964.0,10290.0,60536322,pierwotny,Krzyki,40.91,2,5,2.0,https://www.otodom.pl/oferta/m2-dobrakomunikacja-balkon-grabiszynska-2020-ID460gi.html#02f510e6c7
381087.0,6300.0,60536227,pierwotny,dolnośląskie,60.49,3,,1.0,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-na-jagodnie-promocja-ID460eL.html#02f510e6c7
607050.0,7100.0,60536321,pierwotny,Fabryczna,85.5,3,3,,https://www.otodom.pl/oferta/duzy-apartament-premium-zerniki-od-reki-ID460gh.html#02f510e6c7
480000.0,12800.0,60468311,wtorny,Stare Miasto,37.5,1,3,,https://www.otodom.pl/oferta/mieszkanie-kawalerka-w-swietnej-lokalizacji-ID45Izl.html#02f510e6c7
511874.0,8390.0,60536324,pierwotny,Krzyki,61.01,4,5,2.0,https://www.otodom.pl/oferta/m4-dobrakomunikacja-2balkony-grabiszynska-ID460gk.html#02f510e6c7
580732.0,9218.0,60536218,pierwotny,Stare Miasto,63.0,3,8,4.0,https://www.otodom.pl/oferta/wysoki-standard1500m-rynekwindanad-odrabalkon-ID460eC.html#02f510e6c7
499000.0,9091.0,60377799,wtorny,Krzyki,54.89,3,3,3.0,https://www.otodom.pl/oferta/pod-klucz-mieszkanie-54-89-m2-nowe-ID45l1t.html#02f510e6c7
419000.0,7925.0,60536226,pierwotny,Krzyki,52.87,3,4,4.0,https://www.otodom.pl/oferta/3-pok-mieszkanie-z-systemem-inteligentnego-domu-ID460eK.html#02f510e6c7
342000.0,8792.0,60536067,wtorny,Śródmieście,38.9,2,3,1.0,https://www.otodom.pl/oferta/politechnika-wroc-2-pokoje-idealne-na-wynajem-ID460cb.html#02f510e6c7
324405.0,8100.0,60536316,pierwotny,Fabryczna,40.05,2,3,2.0,https://www.otodom.pl/oferta/gotowy-apartament-podwyzszony-standard-zerniki-ID460gc.html#02f510e6c7
374514.0,6969.0,60536224,pierwotny,Krzyki,53.74,3,4,,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-na-krzykach-promocja-ID460eI.html#02f510e6c7
362413.0,10290.0,60536328,pierwotny,Krzyki,35.22,2,7,5.0,https://www.otodom.pl/oferta/2-pokoje-balkon-super-cena-gaj-od-reki-ID460go.html#02f510e6c7
406554.0,7905.0,60536330,pierwotny,Krzyki,51.43,2,3,1.0,https://www.otodom.pl/oferta/2-pokoje-osobna-kuchnia-balkon-super-cena-ID460gq.html#02f510e6c7
519984.0,9200.0,60536230,pierwotny,Śródmieście,56.52,3,8,2.0,https://www.otodom.pl/oferta/mieszkanie-wroclaw-srodmiescie-ID460eO.html#02f510e6c7
436325.0,7750.0,60536320,pierwotny,Fabryczna,56.3,3,3,1.0,https://www.otodom.pl/oferta/m3-duza-loggia-premium-zerniki-od-reki-ID460gg.html#02f510e6c7
460000.0,6825.0,60100604,wtorny,Krzyki,67.4,3,11,7.0,https://www.otodom.pl/oferta/3-pokoje-67m-gaj-ul-orzechowa-bezposrednio-ID44aUA.html#02f510e6c7
567666.0,9190.0,60536329,pierwotny,Krzyki,61.77,3,7,5.0,https://www.otodom.pl/oferta/3-pokoje-balkon-super-cena-gaj-od-reki-ID460gp.html#02f510e6c7
350637.0,8490.0,60536325,pierwotny,Krzyki,41.3,4,5,2.0,https://www.otodom.pl/oferta/m2-dobrakomunikacja-loggia-grabiszynska-ID460gl.html#02f510e6c7
310000.0,12277.0,60536135,wtorny,Stare Miasto,25.25,1,4,2.0,https://www.otodom.pl/oferta/kawalerka-rynek-inwestycja-idealna-dla-inwestora-ID460dh.html#02f510e6c7
392844.0,7600.0,60536318,pierwotny,Fabryczna,51.69,2,3,,https://www.otodom.pl/oferta/m2-ogrodek-premium-zerniki-od-reki-ID460ge.html#02f510e6c7
339000.0,7197.0,60536315,wtorny,Fabryczna,47.1,2,10,8.0,https://www.otodom.pl/oferta/ladne-mieszkanie-na-gadowie-ID460gb.html#02f510e6c7
453298.0,9690.0,60536327,pierwotny,Krzyki,46.78,2,7,6.0,https://www.otodom.pl/oferta/2-pokoje-osobna-kuchnia-balkon-super-cena-ID460gn.html#02f510e6c7
285000.0,8097.0,60536029,wtorny,Fabryczna,35.2,1,2,1.0,https://www.otodom.pl/oferta/mieszkanie-35-20-m-wroclaw-ID460bz.html#02f510e6c7
449208.0,7222.0,60067689,pierwotny,Fabryczna,62.2,3,5,1.0,https://www.otodom.pl/oferta/3-pokoje-kuchnia-duzy-balkon-24-m2-100m-tramwaj-k-ID442lH.html#02f510e6c7
357870.0,7550.0,60067279,pierwotny,Krzyki,47.4,2,4,1.0,https://www.otodom.pl/oferta/2-pokoje-kuchnia-krzyki-15-min-do-centrum-ID442f5.html#02f510e6c7
440000.0,7857.0,60202117,wtorny,Fabryczna,56.0,3,4,3.0,https://www.otodom.pl/oferta/sprzedam-3-pokojowe-mieszkanie-na-zlotnikach-ID44BjT.html#02f510e6c7
461500.0,6616.0,60067458,pierwotny,Fabryczna,69.75,4,2,2.0,https://www.otodom.pl/oferta/4-pokoje-balkon-taras-blisko-do-aow-i-stadionu-k-ID442hY.html#02f510e6c7
