Cena,Cena_za_metr,Id,Liczba pięter,Liczba pokoi,Piętro,Powierzchnia,Rynek,Strefa,URL
762687.0,8300.0,60500962,7,3,Brak danych,91.89,pierwotny,Fabryczna,https://www.otodom.pl/oferta/park-grabiszynski-92m2-z-tarasem-ID45R3Y.html#02f510e6c7
332780.0,7000.0,59272133,2,3,Brak danych,47.54,pierwotny,Fabryczna,https://www.otodom.pl/oferta/mieszkanie-3-pokoje-z-duzym-ogrodem-zielone-miasto-ID40Ho9.html#02f510e6c7
442759.0,11776.0,60500757,6,2,6.0,37.6,pierwotny,Śródmieście,https://www.otodom.pl/oferta/2-pokoje-balkon-nowoczesna-inwestycja-ID45R0F.html#02f510e6c7
311000.0,8886.0,60501058,4,1,Brak danych,35.0,wtorny,Psie Pole,https://www.otodom.pl/oferta/piekna-kawalerka-35-m2-z-ogrodem-c-h-marino-eng-ID45R5v.html#02f510e6c7
450000.0,11250.0,60483011,4,2,Brak danych,40.0,wtorny,dolnośląskie,https://www.otodom.pl/oferta/piekne-2-pokoje-40m2-garaz-x2-bezposrednio-ID45Mor.html#02f510e6c7
500000.0,8792.0,60263684,4,3,4.0,56.87,wtorny,Krzyki,https://www.otodom.pl/oferta/przestronne-3-pokoje-na-tarnogaju-ID44RkU.html#02f510e6c7
874355.0,15500.0,60501172,10,3,1.0,56.41,pierwotny,Stare Miasto,https://www.otodom.pl/oferta/3-pokoje-z-widokiem-na-rzeke-taras-36m2-ID45R7m.html#02f510e6c7
375978.0,6969.0,60501148,4,3,3.0,53.95,pierwotny,Krzyki,https://www.otodom.pl/oferta/promocja-3-pokojowe-mieszkanie-do-odbioru-ID45R6Y.html#02f510e6c7
430000.0,7049.0,60500907,Brak danych,3,Brak danych,61.0,wtorny,Psie Pole,https://www.otodom.pl/oferta/wroclaw-zakrzow-zatorska-trzy-pokoje-ID45R35.html#02f510e6c7
435000.0,4780.0,60500811,1,4,1.0,91.0,wtorny,Psie Pole,https://www.otodom.pl/oferta/ciche-ladne4-pokojeogrod2008-rok-ID45R1x.html#02f510e6c7
334999.0,8862.0,60500949,3,2,Brak danych,37.8,wtorny,dolnośląskie,https://www.otodom.pl/oferta/perelka-stablowice-taras-2-pokoje-garaz-fitness-ID45R3L.html#02f510e6c7
540000.0,8141.0,60411218,2,3,1.0,66.33,wtorny,Fabryczna,https://www.otodom.pl/oferta/gotowe-do-zamieszkania-ciche-blisko-a-o-w-ID45tIu.html#02f510e6c7
449001.0,6722.0,60500940,2,3,Brak danych,66.8,wtorny,dolnośląskie,https://www.otodom.pl/oferta/apartament-lux-bazyliowa-66m2-2-tarasy-3-poko-ID45R3C.html#02f510e6c7
