Cena,Cena_za_metr,Id,Rynek,Strefa,Powierzchnia,Liczba pokoi,Liczba pięter,Piętro,URL
420000.0,11053.0,60534575,wtorny,Fabryczna,38.0,2,3,,https://www.otodom.pl/oferta/na-sprzedaz-dwupokojowe-mieszkanie-grabiszynek-ID45ZO7.html#0f9aab230e
449000.0,6855.0,60421963,wtorny,Śródmieście,65.5,3,6,1.0,https://www.otodom.pl/oferta/3-pokoje-w-centrum-65-50-m-balkon-winda-ID45vwN.html#0f9aab230e
494000.0,8233.0,60534531,pierwotny,Śródmieście,60.0,3,5,5.0,https://www.otodom.pl/oferta/promocjataras-21mmini-porttarascisza-i-spokoj-ID45ZNp.html#0f9aab230e
439900.0,7211.0,60485043,wtorny,Śródmieście,61.0,3,4,,https://www.otodom.pl/oferta/mieszkanie-61m2-srodmiescie-bez-posrednikow-ID45MWd.html#0f9aab230e
419000.0,7688.0,60534526,pierwotny,Śródmieście,54.5,3,4,2.0,https://www.otodom.pl/oferta/promocja-mini-port-bulwar-nad-odra-park-ochrona24-ID45ZNk.html#0f9aab230e
420000.0,7807.0,60534529,pierwotny,Śródmieście,53.8,3,4,2.0,https://www.otodom.pl/oferta/promocjamini-portwindadwustronnebalkon-ID45ZNn.html#0f9aab230e
499000.0,15569.0,60534014,wtorny,Śródmieście,32.05,2,,,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-z-ogrodkiem-polaka-ID45ZF4.html#0f9aab230e
310000.0,7407.0,60534516,wtorny,Psie Pole,41.85,3,5,4.0,https://www.otodom.pl/oferta/3pok-w-kamienicy-na-kleczkowie-ID45ZNa.html#0f9aab230e
730000.0,5000.0,59971657,wtorny,Krzyki,146.0,5,2,1.0,https://www.otodom.pl/oferta/nowe-mieszkanie-wojszyce-146-m2-ID43DmN.html#1f999542e1
416465.0,8222.0,60534086,pierwotny,Krzyki,50.65,3,3,3.0,https://www.otodom.pl/oferta/duzy-rabat-park-rzeka-tramwaj-balkon-ID45ZGe.html#0f9aab230e
421600.0,6600.0,60534327,pierwotny,Krzyki,63.88,3,4,1.0,https://www.otodom.pl/oferta/3-pokoje-osobna-kuchnia-super-cena-od-reki-ID45ZK7.html#0f9aab230e
298000.0,7968.0,60476912,wtorny,Fabryczna,37.4,2,4,1.0,https://www.otodom.pl/oferta/2-pokoje-37-4-m2-taras-6-5m-stablowice-wroclaw-ID45KO4.html#0f9aab230e
