Cena,Cena_za_metr,Id,Liczba pięter,Liczba pokoi,Piętro,Powierzchnia,Rynek,Strefa,URL
419000.0,6598.0,60533635,3,3,3.0,63.5,wtorny,dolnośląskie,https://www.otodom.pl/oferta/perelka-krzyki-3-pokoje-63m2-piwnica-ID45ZyX.html#02f510e6c7
322500.0,8716.0,60533633,8,2,2.0,37.0,wtorny,dolnośląskie,https://www.otodom.pl/oferta/plac-legionow-37m2-pokoje-winda-ID45ZyW.html#02f510e6c7
364999.0,7791.0,60533523,10,3,9.0,46.85,wtorny,Fabryczna,https://www.otodom.pl/oferta/okolice-klodnickiej-3pok-47m2-nowa-winda-ID45Zx9.html#02f510e6c7
519999.0,6980.0,60533524,4,3,,74.5,wtorny,Fabryczna,https://www.otodom.pl/oferta/okolice-pionierskiej-3pok-74-50m2-piwnica-17m2-ID45Zxa.html#02f510e6c7
359999.0,8411.0,60533634,10,2,10.0,42.8,wtorny,dolnośląskie,https://www.otodom.pl/oferta/apartament-lux-2-pokoje-krzyki-ID45ZyV.html#02f510e6c7
399000.0,7980.0,60447293,2,3,2.0,50.0,wtorny,Krzyki,https://www.otodom.pl/oferta/nowe-do-wprowadzenia-bez-pcc-garaz-ID45D6l.html#02f510e6c7
575000.0,6280.0,60495092,2,3,1.0,91.56,wtorny,Psie Pole,https://www.otodom.pl/oferta/willowe-klimatyczne-3-pokoje-z-ogrodkiem-ID45Pxi.html#02f510e6c7
399912.0,7877.0,60533519,3,3,2.0,50.77,pierwotny,Krzyki,https://www.otodom.pl/oferta/klecina-rzeka-park-tramwaj-gotowe-ID45Zx5.html#02f510e6c7
492942.0,8499.0,60533616,3,4,3.0,58.0,wtorny,Śródmieście,https://www.otodom.pl/oferta/4-pokoje-pod-inwestycje-kilinskiego-gotowiec-ID45ZyE.html#02f510e6c7
329990.0,6790.0,60533636,5,2,3.0,48.6,wtorny,dolnośląskie,https://www.otodom.pl/oferta/apartament-rozklad-perelka-nadodrze-2pokoje49m2-ID45ZyY.html#02f510e6c7
399000.0,6650.0,60253676,2,3,1.0,60.0,wtorny,Krzyki,https://www.otodom.pl/oferta/nowe-do-wprowadzenia-bez-pcc-ID44OJu.html#02f510e6c7
314900.0,6175.0,60533525,4,3,,51.0,pierwotny,Fabryczna,https://www.otodom.pl/oferta/wegliniecka-deweloperskie-2019-ogrod-54-m2-garaz-ID45Zxb.html#02f510e6c7
395000.0,7932.0,60313054,10,2,6.0,49.8,wtorny,Psie Pole,https://www.otodom.pl/oferta/doskonala-inwestycja-2-pokoje-rozanka-ID454bc.html#02f510e6c7
420140.0,7646.0,60533452,6,3,,54.95,pierwotny,Psie Pole,https://www.otodom.pl/oferta/hit-mieszkanie-z-duzym-tarasem-przy-kamienskiego-ID45Zv0.html#02f510e6c7
519000.0,6488.0,60070851,10,4,1.0,80.0,wtorny,Śródmieście,https://www.otodom.pl/oferta/5-pokoi-pelen-rozklad-cisza-bezposrednio-negocjac-ID443aH.html#02f510e6c7
355000.0,9482.0,60533485,5,3,5.0,37.44,wtorny,Krzyki,https://www.otodom.pl/oferta/3-pokoje-na-gaju-dla-rodziny-lub-pod-wynajem-ID45Zvx.html#02f510e6c7
998500.0,12177.0,60533545,4,3,,82.0,wtorny,Śródmieście,https://www.otodom.pl/oferta/apartament-z-ogrodkiem-3-pokoje-biskupin-ID45Zxw.html#02f510e6c7
426900.0,6998.0,60149094,4,2,,61.0,wtorny,Stare Miasto,https://www.otodom.pl/oferta/bezposrednio-duze-w-centrum-ul-zdrowa-duza-piwnica-ID44nvG.html#02f510e6c7
499000.0,7689.0,60533454,4,3,4.0,64.9,wtorny,Fabryczna,https://www.otodom.pl/oferta/okazja-wyjatkowy-rozklad-z-wieloma-mozliwosciami-ID45Zv2.html#02f510e6c7
519000.0,8843.0,60403053,3,3,1.0,58.69,wtorny,Krzyki,https://www.otodom.pl/oferta/wysoki-standard-58-mkw-2-balkony-bez-pcc-ID45rAN.html#02f510e6c7
610000.0,9839.0,60533477,7,3,,62.0,wtorny,Śródmieście,https://www.otodom.pl/oferta/ogrody-reja-ID45Zvp.html#02f510e6c7
819000.0,7375.0,60533640,3,6,1.0,111.05,wtorny,Fabryczna,https://www.otodom.pl/oferta/wyjatkowe-6-pokoi-z-mozliwoscia-podzialu-na-2-m-ID45Zz2.html#02f510e6c7
445000.0,7739.0,60533448,4,3,,57.5,wtorny,Stare Miasto,https://www.otodom.pl/oferta/rozkladowe-miejskie-media-duzy-balkon-ID45ZwV.html#02f510e6c7
399913.0,7879.0,60533520,3,3,1.0,50.76,pierwotny,Krzyki,https://www.otodom.pl/oferta/klecina-rzeka-park-tramwaj-gotowe-ID45Zx6.html#02f510e6c7
360798.0,9725.0,60533450,3,2,3.0,37.1,pierwotny,Psie Pole,https://www.otodom.pl/oferta/mieszkanie-nad-odra-w-prestizowej-inwestycji-ID45ZwY.html#02f510e6c7
310000.0,8978.0,60527996,,2,4.0,34.53,pierwotny,Fabryczna,https://www.otodom.pl/oferta/m-na-juz-z-tarasem-na-4-pietrze-8min-magnolia-ID45Y60.html#02f510e6c7
314000.0,7747.0,59913778,4,2,3.0,40.53,pierwotny,Krzyki,https://www.otodom.pl/oferta/nowe-mieszkanie-z-garderoba-projekt-wnetrz-gratis-ID43ojg.html#02f510e6c7
399117.0,7965.0,60533522,3,3,,50.11,pierwotny,Krzyki,https://www.otodom.pl/oferta/klecina-rzeka-park-tramwaj-gotowe-ID45Zx8.html#02f510e6c7
599205.0,7690.0,60533451,3,4,,77.92,pierwotny,Fabryczna,https://www.otodom.pl/oferta/400-metrow-ogrodu-nowoczesna-inwestycja-ID45ZwZ.html#02f510e6c7
504874.0,9402.0,60533444,7,3,1.0,53.7,pierwotny,Śródmieście,https://www.otodom.pl/oferta/klimatyczna-inwestycja-przy-odrze-ID45ZwS.html#02f510e6c7
409340.0,10550.0,60533446,5,2,1.0,38.8,pierwotny,Śródmieście,https://www.otodom.pl/oferta/top-lokalizacja-inwestycyjne-lub-na-start-ID45ZwU.html#02f510e6c7
332577.0,7036.0,60533376,4,2,1.0,47.27,pierwotny,Krzyki,https://www.otodom.pl/oferta/krzyki-pelny-rozklad-gotowe-do-odbioru-balkon-ID45ZuM.html#ac18fbd7cc
399000.0,8391.0,60494469,8,3,3.0,47.55,pierwotny,Krzyki,https://www.otodom.pl/oferta/lokalizacja-3pok-dla-inwestora-duzy-zysk-rodzina-ID45Pnf.html#ac18fbd7cc
448000.0,9156.0,60477666,3,2,3.0,48.93,wtorny,Krzyki,https://www.otodom.pl/oferta/gotowe-do-zamieszkania-nowe-2-pokoje-48-93-m2-ID45L0e.html#02f510e6c7
454577.0,6829.0,60533380,4,4,3.0,66.57,pierwotny,Krzyki,https://www.otodom.pl/oferta/jagodno-gotowe-okazja-winda-i-balkon-ID45ZuQ.html#02f510e6c7
684255.0,9075.0,60533447,5,4,2.0,75.4,pierwotny,Śródmieście,https://www.otodom.pl/oferta/nowosc-apartament-dla-wymagajacej-rodziny-ID45ZwW.html#02f510e6c7
194955.0,7961.0,55074240,4,1,4.0,24.49,pierwotny,Fabryczna,https://www.otodom.pl/oferta/apartament-24-49-5m2-balkonu-ID3J5kc.html#02f510e6c7
674389.0,12262.0,60533223,8,3,7.0,55.0,pierwotny,Stare Miasto,https://www.otodom.pl/oferta/apartament-scisle-centrum-piekny-widok-z-tarasu-ID45Zsj.html#ac18fbd7cc
493124.0,10371.0,60533445,7,2,5.0,47.55,pierwotny,Śródmieście,https://www.otodom.pl/oferta/wyjatkowy-apartament-w-pelnym-rozkladzie-ID45ZwT.html#02f510e6c7
385000.0,5932.0,60246910,8,3,5.0,64.9,wtorny,Fabryczna,https://www.otodom.pl/oferta/duze-mieszkanie-wroclaw-ul-celtycka-ID44MYm.html#ac18fbd7cc
579000.0,7391.0,60533363,4,3,3.0,78.34,wtorny,Fabryczna,https://www.otodom.pl/oferta/mieszkanie-78-34-m-wroclaw-ID45Zuz.html#ac18fbd7cc
656832.0,6400.0,60533437,3,5,3.0,102.63,wtorny,Fabryczna,https://www.otodom.pl/oferta/promocyjna-cena-gotowe-dla-rodziny-nie-czekaj-ID45ZwL.html#02f510e6c7
1575900.0,11088.0,60525086,5,4,5.0,142.13,pierwotny,Śródmieście,https://www.otodom.pl/oferta/centrum-apartament-z-tarasem-i-widokiem-na-odre-ID45Xl4.html#ac18fbd7cc
