Cena,Cena_za_metr,Id,Liczba pięter,Liczba pokoi,Piętro,Powierzchnia,URL
396325.0,7429.0,60476462,4,3,1.0,53.35,https://www.otodom.pl/oferta/krzykiz-aktem-not-ustawnegotowedobry-standard-ID45KGO.html#02f510e6c7
393455.0,9785.0,60452600,8,2,7.0,40.21,https://www.otodom.pl/oferta/nowoczesne-2pok-lux-0-pcc-dobra-inwestycja-ID45EtV.html#02f510e6c7
397584.0,9900.0,60474768,Brak danych,2,5.0,40.16,https://www.otodom.pl/oferta/dwie-kawalerki-w-jednym-w-sercu-srodmiescia-ID45Kfu.html#02f510e6c7
560000.0,8000.0,60428984,4,3,1.0,70.0,https://www.otodom.pl/oferta/mieszkanie-trzypokojowe-70-mkw-ID45yl2.html#02f510e6c7
559000.0,6425.0,60476627,9,4,1.0,87.0,https://www.otodom.pl/oferta/gadow-lux-4-pokoje-87m2-ID45KJt.html#02f510e6c7
292000.0,8588.0,60476455,4,2,1.0,34.0,https://www.otodom.pl/oferta/krzykigotowepl-zabawbalkonlimitowana-oferta-ID45KGH.html#02f510e6c7
373959.0,7636.0,60476457,4,2,1.0,48.97,https://www.otodom.pl/oferta/krzykiparkinggotowebalkonsprawdzone-osiedle-ID45KGJ.html#02f510e6c7
342788.0,6800.0,60474451,4,2,Brak danych,50.41,https://www.otodom.pl/oferta/2-pokoje-z-osobna-kuchnia-ogrodek-40-m2-ID45Kan.html#02f510e6c7
416861.0,6948.0,60476459,4,3,3.0,60.0,https://www.otodom.pl/oferta/krzykigotoweosobna-kuchnia-z-oknembalkonnowe-ID45KGL.html#02f510e6c7
621576.0,9700.0,60476465,8,3,3.0,64.08,https://www.otodom.pl/oferta/2xbalkonspacerem-do-rynkugotowewinda-ID45KGR.html#02f510e6c7
526113.0,9187.0,60476468,8,3,6.0,57.27,https://www.otodom.pl/oferta/spacerem-do-rynkucentrumgotoweodra-promenada-ID45KGU.html#02f510e6c7
571340.0,9298.0,60476471,8,3,2.0,61.45,https://www.otodom.pl/oferta/dwustronnegotowestare-miastowysoki-standard-ID45KGX.html#02f510e6c7
528884.0,9198.0,60476464,8,3,5.0,57.5,https://www.otodom.pl/oferta/spacerem-do-rynkucentrumgotoweodra-bulwar-ID45KGQ.html#02f510e6c7
461142.0,6850.0,60476454,4,3,3.0,67.32,https://www.otodom.pl/oferta/krzykiwindabalkondwustronne6750zl-m2nowe-ID45KGG.html#02f510e6c7
397760.0,9785.0,60452587,8,2,8.0,40.65,https://www.otodom.pl/oferta/zainwestuj-w-centrum-2pok-lux-kup-juz-dzis-0-ID45EtJ.html#02f510e6c7
380562.0,7800.0,60476450,4,2,3.0,48.79,https://www.otodom.pl/oferta/krzykigotowez-dala-od-zgielku-miastabalkon-ID45KGC.html#02f510e6c7
398249.0,9785.0,60452547,8,2,8.0,40.7,https://www.otodom.pl/oferta/idealne-2pok-dla-pary-funkcjonalny-uklad-okazja-ID45Et5.html#02f510e6c7
503036.0,6482.0,60452694,Brak danych,3,Brak danych,77.61,https://www.otodom.pl/oferta/3-pok-premium-bezposrednio-0-pcc-gotowe-ID45Ews.html#02f510e6c7
375466.0,9100.0,60452345,Brak danych,2,Brak danych,41.26,https://www.otodom.pl/oferta/lux-apartament-wys-standard-0-pcc-pod-klucz-ID45EpP.html#02f510e6c7
393161.0,9785.0,60452627,8,2,8.0,40.18,https://www.otodom.pl/oferta/zainwestuj-z-nami-juz-dzis-2pok-w-centrum-0-pcc-ID45Eun.html#02f510e6c7
327005.0,9991.0,60452525,8,1,8.0,32.73,https://www.otodom.pl/oferta/apartament-lux-dwa-balkony-centrum-0-pcc-ID45EsJ.html#02f510e6c7
480000.0,12800.0,60468311,3,1,Brak danych,37.5,https://www.otodom.pl/oferta/mieszkanie-kawalerka-w-swietnej-lokalizacji-ID45Izl.html#02f510e6c7
510000.0,9291.0,60377799,3,3,3.0,54.89,https://www.otodom.pl/oferta/pod-klucz-mieszkanie-54-89-m2-nowe-ID45l1t.html#02f510e6c7
529000.0,7347.0,60476395,2,3,Brak danych,72.0,https://www.otodom.pl/oferta/idealne-dla-rodziny-3-pokojowe-na-maslicach-ID45KFJ.html#02f510e6c7
199900.0,8568.0,60407538,10,1,8.0,23.33,https://www.otodom.pl/oferta/krzyki-wykonczone-miejsce-komorka-8pietrozachod-ID45sL8.html#02f510e6c7
399000.0,8769.0,60476340,4,2,4.0,45.5,https://www.otodom.pl/oferta/sloneczne-mieszkanie-z-balkonem-na-klecinie-ID45KEQ.html#02f510e6c7
369000.0,10543.0,60376462,6,2,5.0,35.0,https://www.otodom.pl/oferta/gotowe-blisko-centrum-10-minut-od-pkp-ID45kFU.html#02f510e6c7
399000.0,7964.0,60328734,Brak danych,3,2.0,50.1,https://www.otodom.pl/oferta/smardzowska-nowe-bez-pcc-garaz-ID458g6.html#ac18fbd7cc
299000.0,11283.0,60476232,4,1,2.0,26.5,https://www.otodom.pl/oferta/przestronna-kawalerka-bezposrednio-ID45KD6.html#ac18fbd7cc
379000.0,6457.0,60476291,4,3,1.0,58.7,https://www.otodom.pl/oferta/perelka-apartament-58m2-3-pok-garaz-ID45KE3.html#02f510e6c7
447000.0,9313.0,60241223,7,3,1.0,48.0,https://www.otodom.pl/oferta/realizacja-maj-2020-centrum-2km-od-rynku-ID44LuD.html#02f510e6c7
440000.0,7857.0,60202117,4,3,3.0,56.0,https://www.otodom.pl/oferta/sprzedam-3-pokojowe-mieszkanie-na-zlotnikach-ID44BjT.html#02f510e6c7
419000.0,6578.0,60476152,3,3,3.0,63.7,https://www.otodom.pl/oferta/perelka-krzyki-3-pokoje-63m2-piwnica-ID45KBO.html#ac18fbd7cc
601000.0,7845.0,60476384,Brak danych,4,Brak danych,76.61,https://www.otodom.pl/oferta/ogrod-32mfabrycznafactorypark-tysiaclecia-10-20-ID45KFy.html#02f510e6c7
371164.0,6890.0,60476087,4,3,1.0,53.87,https://www.otodom.pl/oferta/stablowice-3-pokoje-hit-2020-ID45KAL.html#ac18fbd7cc
569000.0,10736.0,60420271,6,3,Brak danych,53.0,https://www.otodom.pl/oferta/krakowskie-tarasy-ii-ID45v4w.html#02f510e6c7
460000.0,7313.0,60476143,7,3,3.0,62.9,https://www.otodom.pl/oferta/mieszkanie-wroclaw-nowy-dwor-ul-rogowska-ID45KBF.html#ac18fbd7cc
385000.0,6111.0,60466274,4,3,Brak danych,63.0,https://www.otodom.pl/oferta/3-pokoje-rozklad-ID45I2u.html#02f510e6c7
375000.0,11405.0,60369059,6,2,2.0,32.88,https://www.otodom.pl/oferta/rynek-2-pok-33-m2-bez-pcc-gotowe-i-wykonczone-ID45iKw.html#ac18fbd7cc
